iter	Logloss	AUC
497	0.074703481	0.9957321212
498	0.0746479499	0.995721791
499	0.07450794482	0.9957867241
500	0.07438964786	0.9958000059
501	0.0742060221	0.9958664148
502	0.07407112441	0.9959003571
503	0.07400894949	0.9959077359
504	0.07383076863	0.9959239692
505	0.07376407119	0.9959416782
506	0.07354726271	0.9959903781
507	0.07324948148	0.9961261474
508	0.07313744405	0.9961674685
509	0.07302178922	0.9961733715
510	0.07281522144	0.9962825773
511	0.07266506329	0.9963460347
512	0.07254099701	0.996368171
513	0.07245052369	0.9963844042
514	0.07227978858	0.9964183466
515	0.0720982718	0.9964788525
516	0.07201251376	0.9964921342
517	0.07188022287	0.9965231251
518	0.07182164944	0.9965334553
519	0.07165312404	0.9965555916
520	0.07152840341	0.9965747764
521	0.07137982119	0.9966057672
522	0.07114015008	0.9966898852
523	0.07107047571	0.9966987397
524	0.07088269019	0.996726779
525	0.07071598931	0.9967489153
526	0.07063722247	0.9967740031
527	0.07056615823	0.9967902364
528	0.07040094034	0.9968182757
529	0.07035307602	0.9968168
530	0.07017866814	0.9968551696
531	0.0701016173	0.9968728786
532	0.06993990217	0.9969466663
533	0.069830165	0.996954045
534	0.06967358035	0.9969806086
535	0.0694826702	0.9970175024
536	0.06935424975	0.9970366872
537	0.06928480605	0.9970455417
538	0.06925683671	0.997044066
539	0.06914700176	0.9970868628
540	0.06905506914	0.9971222809
541	0.06895587816	0.9971252324
542	0.06886135023	0.9971488445
543	0.0686927723	0.9971886898
544	0.06854449202	0.9972196806
545	0.06834693401	0.9972521472
546	0.0680712302	0.9973126531
547	0.0679419686	0.9973406924
548	0.0679160093	0.9973465954
549	0.06786296238	0.9973436439
550	0.06776357379	0.9973716832
551	0.06758863236	0.9974115286
552	0.06747040203	0.9974292376
553	0.06724882032	0.9974454709
554	0.06705935501	0.9974853163
555	0.0670040678	0.997480889
556	0.0669567815	0.9974735102
557	0.06684827444	0.9974853163
558	0.06678940068	0.9975015495
559	0.06668594276	0.9975207343
560	0.06656118772	0.9975281131
561	0.06648602855	0.9975281131
562	0.06633454968	0.9975635312
563	0.06619177778	0.9975915705
564	0.06614580869	0.9975915705
565	0.06609047848	0.997588619
566	0.06595363718	0.997600425
567	0.06581754353	0.9976107553
568	0.06572241058	0.9976166583
569	0.06555742214	0.9976255128
570	0.06548019307	0.9976506006
571	0.06539059023	0.9976579794
572	0.06527518302	0.9976697854
573	0.06501372787	0.9977214368
574	0.06497890775	0.9977243883
575	0.06487267469	0.9977420973
576	0.06481887305	0.9977465246
577	0.06467346091	0.9977642336
578	0.06448243678	0.9977952245
579	0.06445365264	0.9977996517
580	0.06436333164	0.9978085062
581	0.06430636575	0.997815885
582	0.06417818641	0.997827691
583	0.06400085288	0.9978645849
584	0.06379493401	0.997905906
585	0.06365002068	0.9979250908
586	0.06359258057	0.9979339453
587	0.06347287279	0.9979605088
588	0.06340961116	0.9979678876
589	0.06315425604	0.998025442
590	0.06304014229	0.9980475783
591	0.06300729394	0.9980579086
592	0.06296646407	0.9980608601
593	0.06289554133	0.9980638116
594	0.06279120524	0.9980667631
595	0.06263251615	0.9980948024
596	0.06247620505	0.9981154629
597	0.06236477579	0.9981287447
598	0.06224366051	0.9981361235
599	0.0621749976	0.9981479295
600	0.06198100471	0.9981671143
601	0.06188393808	0.9981803961
602	0.06179305046	0.9981862991
603	0.06174887398	0.9981981051
604	0.06155587813	0.998234999
605	0.06146966811	0.9982512323
606	0.06129663152	0.9982689413
607	0.06126202708	0.9982718928
608	0.0612268192	0.9982733686
609	0.06099597182	0.9983176412
610	0.0609384193	0.9983205927
611	0.06084797158	0.9983323987
612	0.06071257398	0.9983560107
613	0.06062665018	0.9983633895
614	0.06050107246	0.998378147
615	0.06044221318	0.9983899531
616	0.06034137122	0.9984076621
617	0.060193575	0.9984371772
618	0.0601221297	0.9984386529
619	0.06009512107	0.9984401287
620	0.05997663458	0.998456362
621	0.05985470848	0.998468168
622	0.05983360607	0.9984696438
623	0.05970995551	0.998485877
624	0.05959082044	0.998485877
625	0.05950014331	0.9984814498
626	0.05940903781	0.9984962073
627	0.05921038644	0.9985301496
628	0.05916136351	0.9985257224
629	0.05906968008	0.9985316254
630	0.0589844801	0.9985390042
631	0.05885904029	0.9985552374
632	0.05877968352	0.9985685192
633	0.05862669459	0.9986024616
634	0.05858546629	0.9986113161
635	0.05853163028	0.9986113161
636	0.05848721963	0.9986113161
637	0.05835908923	0.9986245979
638	0.05827977074	0.9986393554
639	0.05817240559	0.9986378796
640	0.05807184372	0.9986349281
641	0.05794870232	0.9986570644
642	0.05793449816	0.9986570644
643	0.057866343	0.9986600159
644	0.05776917052	0.9986644432
645	0.05766684035	0.9986821522
646	0.05753496944	0.9986924825
647	0.05734801638	0.9987234733
648	0.05725338592	0.9987249491
649	0.05713840344	0.9987249491
650	0.05703423654	0.9987456096
651	0.05693796975	0.9987515126
652	0.05687580248	0.9987500369
653	0.05673722038	0.9987647944
654	0.05667002646	0.9987647944
655	0.0566111699	0.9987766005
656	0.05645378899	0.998803164
657	0.0563676577	0.9988002125
658	0.05621971063	0.99881497
659	0.05606180329	0.9988326791
660	0.05598240709	0.9988385821
661	0.05588847695	0.9988430094
662	0.05575511563	0.9988474366
663	0.0556988849	0.9988503881
664	0.05547145118	0.9988902335
665	0.05542104398	0.9988902335
666	0.05529078604	0.9989020395
667	0.05522718881	0.9989079425
668	0.0550602729	0.9989197485
669	0.05501373107	0.9989315546
670	0.05490628329	0.9989345061
671	0.05478310382	0.9989477878
672	0.0546891305	0.9989581181
673	0.05457255544	0.9989728757
674	0.0545201045	0.9989728757
675	0.05449475593	0.9989743514
676	0.05432487016	0.999006818
677	0.05430889521	0.9990053422
678	0.05427059069	0.9990156725
679	0.05423372906	0.9990171483
680	0.05407535201	0.9990230513
681	0.05391746384	0.9990407603
682	0.05386745027	0.9990422361
683	0.05380605025	0.9990569936
684	0.05373755555	0.9990643724
685	0.05360927596	0.9990584693
686	0.05359465619	0.9990614209
687	0.05344865716	0.9990628966
688	0.0533458099	0.9990717511
689	0.05329156276	0.9990776541
690	0.05311562743	0.9990820814
691	0.05305015385	0.9990879844
692	0.05292374975	0.9990924117
693	0.05282278792	0.9991012662
694	0.05275330986	0.9990997904
695	0.05261465761	0.9990894602
696	0.05255210123	0.9990938874
697	0.05241021142	0.9991160237
698	0.05226032632	0.99913816
699	0.05217693692	0.9991425873
700	0.05199479105	0.9991691509
701	0.05195108744	0.9991661993
702	0.05187655589	0.9991691509
703	0.05182949012	0.9991750539
704	0.05171212926	0.9991794811
705	0.05164278302	0.9991957144
706	0.05141627039	0.9992208022
707	0.05133561073	0.9992252295
708	0.05128369573	0.9992252295
709	0.05121064091	0.9992296567
710	0.05107164663	0.999234084
711	0.05101164809	0.9992385113
712	0.05090588998	0.9992385113
713	0.05087621138	0.9992414628
714	0.05081223113	0.9992414628
715	0.05077798266	0.999239987
716	0.05072613248	0.9992473658
717	0.05061405396	0.9992473658
718	0.05052130539	0.999251793
719	0.05047025217	0.9992591718
720	0.05042555042	0.9992591718
721	0.05032629099	0.9992591718
722	0.05030314206	0.9992606476
723	0.05027440511	0.9992606476
724	0.05022828947	0.9992665506
725	0.05017997636	0.9992680263
726	0.05013810588	0.9992783566
727	0.05007634444	0.9992842596
728	0.04995467499	0.9992783566
729	0.04984829032	0.9992975414
730	0.04979775115	0.9992916384
731	0.04974209174	0.9992931141
732	0.04962752634	0.9992945899
733	0.04956617252	0.9992990171
734	0.04953837334	0.9992975414
735	0.04943361954	0.9993063959
736	0.04935253788	0.9993182019
737	0.04925790721	0.9993285322
738	0.04919210267	0.9993285322
739	0.04909300452	0.9993506685
740	0.04902398407	0.9993580473
741	0.04894578091	0.9993580473
742	0.04885489851	0.9993550958
743	0.04883081258	0.99935362
744	0.04871136615	0.999365426
745	0.04866805022	0.9993698533
746	0.04864166524	0.9993669018
747	0.04853702128	0.9993698533
748	0.04846071777	0.9993713291
749	0.04835409337	0.9993831351
750	0.04826942389	0.9993964169
751	0.04821085337	0.9994052714
752	0.04815568083	0.9994037956
753	0.0480900034	0.9994037956
754	0.04804724811	0.9994037956
755	0.04788669071	0.9994200289
756	0.0478125359	0.9994259319
757	0.04780149679	0.9994244562
758	0.04771940506	0.9994347865
759	0.04761687508	0.999455447
760	0.04757736575	0.9994524955
761	0.04746024135	0.9994702045
762	0.04744260243	0.9994702045
763	0.04735894996	0.9994761076
764	0.04724601734	0.9994834863
765	0.04721897304	0.9994864378
766	0.04710324386	0.9994908651
767	0.04706094733	0.9994923408
768	0.04700104368	0.9994952923
769	0.04689643068	0.9994967681
770	0.04677582546	0.9995130014
771	0.04671503224	0.9995159529
772	0.04664171041	0.9995159529
773	0.04659416684	0.9995189044
774	0.04654605606	0.9995174286
775	0.04646633882	0.9995189044
776	0.0464337207	0.9995174286
777	0.04635065128	0.9995218559
778	0.0463129775	0.9995189044
779	0.04617936478	0.9995262832
780	0.0460774814	0.9995336619
781	0.04603476403	0.9995292347
782	0.04598871817	0.9995321862
783	0.04591409272	0.9995366134
784	0.04583189077	0.9995410407
785	0.04573459005	0.9995469437
786	0.04566755525	0.999551371
787	0.04564821703	0.999551371
788	0.04559896695	0.9995498952
789	0.04556683675	0.9995484195
790	0.04555245759	0.9995498952
791	0.04547643915	0.9995484195
792	0.04545029578	0.999551371
793	0.04542442776	0.999551371
794	0.0452902965	0.999551371
795	0.04514596983	0.999557274
796	0.04505224058	0.999563177
797	0.04502372839	0.9995617012
798	0.04498977277	0.999563177
799	0.04491857949	0.9995646528
800	0.04488905117	0.9995661285
801	0.04474180722	0.99956908
802	0.04469012942	0.9995735073
803	0.0445810659	0.9995779345
804	0.04449394503	0.9995764588
805	0.04443061548	0.9995838375
806	0.04433792811	0.9996044981
807	0.04430194518	0.9995985951
808	0.04421223926	0.9996030223
809	0.04418947359	0.9996030223
810	0.04413234526	0.9996044981
811	0.04399638068	0.9996133526
812	0.04393135197	0.9996148284
813	0.04380739821	0.9996207314
814	0.04371923062	0.9996192556
815	0.04365222684	0.9996192556
816	0.04360341551	0.9996163041
817	0.04356550167	0.9996192556
818	0.04350399921	0.9996251586
819	0.04344994838	0.9996266344
820	0.04336870096	0.9996295859
821	0.04332860915	0.9996384404
822	0.04324128301	0.9996502465
823	0.04316794759	0.999670907
824	0.04314010624	0.9996694312
825	0.04299873129	0.9996753343
826	0.04292152465	0.9996812373
827	0.04291280916	0.9996797615
828	0.04284697252	0.99967681
829	0.0427399396	0.9996856645
830	0.04270135045	0.9996856645
831	0.04263503882	0.9996945191
832	0.04251837908	0.9996989463
833	0.0424882833	0.9996974706
834	0.0423622157	0.9997048493
835	0.04230986056	0.9997092766
836	0.04224901938	0.9997107523
837	0.04219970147	0.9997122281
838	0.04219547008	0.9997122281
839	0.04217943364	0.9997122281
840	0.04211076124	0.9997166554
841	0.04207545773	0.9997166554
842	0.04201924097	0.9997151796
843	0.04191595092	0.9997166554
844	0.04188053916	0.9997181311
845	0.04181825911	0.9997240341
846	0.04173865399	0.9997240341
847	0.0417150814	0.9997255099
848	0.04170593473	0.9997255099
849	0.04160767565	0.9997299371
850	0.04157513802	0.9997284614
851	0.0414818143	0.9997402674
852	0.04142514196	0.9997417432
853	0.04127582231	0.9997505977
854	0.04122189377	0.9997550249
855	0.04118004131	0.9997535492
856	0.04105857372	0.9997579764
857	0.04104607955	0.9997579764
858	0.04095889338	0.9997683067
859	0.04088078441	0.9997697825
